Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
Center,41,32:07,4.9,7.3,0.661,0,0,,2,3.4,0.604,4.4,10.5,14.9,1.2,0.5,1,1.6,2.9,11.8,13.5,-0.7,Not selected
Forward,16,29:39,5.6,12.6,0.446,1.2,3.6,0.345,2.8,4.1,0.692,1.5,4.7,6.2,3.1,1.1,1.2,2.1,2.4,15.3,11.8,2.3,Not selected
Center,44,28:26,6,13,0.459,2.2,5.6,0.401,4.4,5,0.882,2,7.4,9.4,1.7,0.7,0.5,1.6,2.1,18.6,15,-0.5,Not selected
Center,40,31:03,5.9,12.6,0.47,1.2,3.6,0.333,3.1,3.7,0.85,2.8,7.7,10.5,5,1.2,0.8,2.7,2.6,16.2,15.2,3.4,Not selected
Center,45,34:29,6.2,14.8,0.418,1.4,4.2,0.34,4.3,5.1,0.839,1.3,7.2,8.5,3.9,0.7,1.4,2.8,2.5,18.1,13.5,-3,Not selected
Point-Forward,30,34:21,7.7,17.4,0.444,1.9,5.6,0.331,5.4,6.9,0.783,1.5,6.4,7.9,5.5,0.8,0.3,3.2,2.5,22.7,16.7,0.3,Not selected
Guard,12,31:06,5.3,14,0.381,2,6.4,0.312,4.4,5.5,0.803,0,2.2,2.2,4.1,1,0.2,1.5,2,17.1,11.4,-1.3,Not selected
Forward,1,5:15,1,2,0.5,0,1,0,0,0,,0,1,1,0,0,0,0,1,2,0.9,3,Not selected
Center,21,29:43,4.3,7.2,0.599,0,0,,3.4,5.1,0.664,2.6,7,9.6,1.1,0.6,2.4,2,2.6,12,12,-2.2,Not selected
Guard,28,32:17,6.5,14.1,0.46,2.8,7,0.396,3.3,3.6,0.911,0.7,5.2,5.9,8.9,1.9,0.4,2.6,2.5,19.1,18.6,8,Not selected
Forward,9,23:19,5.8,12.3,0.468,1.2,3.9,0.314,3.4,4.2,0.816,0.7,4,4.7,2.3,2,1,1.8,1,16.2,13.4,1.9,Not selected
Guard,35,34:48,8.7,18.9,0.461,2.3,5.7,0.405,3.9,4.3,0.895,0.9,2.6,3.5,5.6,1.1,0.1,2.7,1.9,23.6,16.8,4.8,Selected
Guard,42,35:27,10.2,21.5,0.475,0.3,1.4,0.241,7.5,8.8,0.848,1,4.4,5.4,3.9,1.2,0.2,2.4,1.9,28.2,19.7,3.4,Selected
Point-Forward,37,37:02,9.4,18.4,0.512,1.8,4.8,0.375,5,7.1,0.703,1.4,6.3,7.7,8.1,1.5,0.5,4.1,1.6,25.6,21.3,7.6,Selected
Point-Forward,40,34:44,8.6,16.1,0.537,0.7,2.4,0.284,5.7,7.2,0.783,1.9,6.8,8.7,5.6,1.8,2.1,3,3.4,23.6,21.4,2.4,Selected
Forward,41,36:49,7.6,16.9,0.452,1.2,3.5,0.345,8.4,9.7,0.866,1.7,5.1,6.8,4.8,1.7,0.3,2.1,1.7,24.8,20.8,2.8,Selected
Guard,42,33:34,8.2,17.5,0.465,3.8,9.5,0.397,4.5,4.9,0.926,0.6,3.6,4.2,6.1,1.8,0.2,3,2.3,24.6,19.2,12.6,Selected
Guard,45,36:35,8.4,19,0.443,3.1,9,0.347,8.9,10.4,0.853,1.3,7,8.3,11.6,1.4,0.4,5.7,2.5,28.9,24.4,6.5,Selected
Forward,42,34:23,9.2,17,0.544,2,5,0.405,5.7,6.6,0.863,0.6,8,8.6,4.7,1.1,1.7,2.3,2,26.2,23,11.4,Selected
Forward,39,33:14,8.2,16.7,0.488,2.1,4.9,0.415,6.5,7.2,0.907,1.2,4.5,5.7,3.1,1.9,0.7,1.8,1.6,24.8,20.4,6,Selected
Forward,40,36:34,10.4,20.8,0.501,0.5,1.8,0.3,7.4,9.3,0.796,2.4,9.7,12.1,2.2,1.3,2.4,2.5,2.3,28.8,23.3,-0.2,Selected
Guard,43,36:23,8.5,18.3,0.464,1.1,3.4,0.317,5,6.1,0.824,0.9,3.6,4.5,10.1,2.2,0.5,4.2,2,23.1,19.5,3.3,Selected
Guard,41,34:19,9.2,19.9,0.462,3,8,0.38,7.7,8.5,0.908,0.7,2.1,2.8,6.2,0.8,0.1,2.5,2.1,29.1,21.5,1.7,Selected
Guard,45,37:20,7.1,15.1,0.469,3.2,7.5,0.422,5.1,6.1,0.83,0.9,3.9,4.8,6.9,1.6,0.4,2.9,2.9,22.4,18.8,6.3,Selected
Guard,45,33:50,8.2,18,0.457,2.8,6.9,0.411,3.8,4.6,0.827,0.6,3.4,4,5.5,1.2,0.2,2.3,1.6,23,17.2,3.8,Selected
Forward,37,35:25,7.7,17.1,0.45,2.4,6.1,0.387,4.4,4.8,0.926,0.8,5.2,6,3.2,1.7,0.3,2.8,2.6,22.2,15.5,1.4,Selected
Forward,39,32:02,6.6,15.3,0.429,2.6,6.9,0.376,4.8,5.5,0.869,2.6,8.4,11,1.9,0.8,0.3,2.1,1.9,20.5,16,7.4,Selected
Forward,43,34:00,6.4,14.4,0.444,1.2,3.6,0.335,3.9,5.2,0.75,1.7,6.4,8.1,3.8,1.5,1,2.3,2.6,18,14.6,4,Selected
Guard,46,34:40,10,23.7,0.419,2.1,6.3,0.33,8.7,10.6,0.822,1.8,8.8,10.6,10.4,1.6,0.3,5.6,2.4,30.7,23.8,3.8,Selected
Guard,45,34:16,8,17,0.467,3.1,7.8,0.396,2.1,2.5,0.847,0.6,3.2,3.8,1.9,0.8,0.5,1.8,1.9,21.1,13.5,11.6,Selected
